statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),54,-118,-111,107,100,6,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,INDCHI,"Chicago, Illinois",Regular,8992435,43,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),44,100,-112,-110,101,2.5,103,-106,-114,-105,2.5,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Bears,Chicago Bears,CHI,4,2020,,,,,Soldier Field,2020regINDCHI,Colts,Indianapolis Colts,IND,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),44,100,-112,-110,101,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),44,-104,-112,-106,101,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),44,-102,-113,-108,102,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),44,-103,-111,-107,100,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),43,-106,101,-104,-112,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),43,-110,102,100,-114,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:26 GMT+0000 (Coordinated Universal Time),43,-110,-108,100,-103,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),43,103,-106,-114,-105,2.5,,,,,,,,,,,,,,,,,,,,,,,
